subjID	social_distance	amount_self	amount_default	amount_other	choice	totalFairseq	SD_like	SD_likeRaw
1	1	37	20	20	1	1	1	1
1	10	37	20	20	1	1	0.85	14
1	20	25	20	20	0	1	0.71	28
1	100	37	20	20	0	1	0.01	97
1	5	37	20	20	1	1	0.9	9
1	50	43	20	20	0	1	0.44	55
1	10	43	20	20	1	1	0.85	14
1	5	31	20	20	1	1	0.9	9
1	1	19	20	20	1	1	1	1
1	100	31	20	20	0	1	0.01	97
1	20	31	20	20	0	1	0.71	28
1	50	25	20	20	0	1	0.44	55
1	100	19	20	20	0	1	0.01	97
1	50	19	20	20	0	1	0.44	55
1	10	19	20	20	1	1	0.85	14
1	5	25	20	20	1	1	0.9	9
1	20	37	20	20	0	1	0.71	28
1	1	25	20	20	1	1	1	1
1	20	43	20	20	1	1	0.71	28
1	10	31	20	20	1	1	0.85	14
1	5	19	20	20	1	1	0.9	9
1	1	31	20	20	1	1	1	1
1	50	31	20	20	0	1	0.44	55
1	100	25	20	20	0	1	0.01	97
1	1	43	20	20	1	1	1	1
1	10	25	20	20	1	1	0.85	14
1	100	43	20	20	0	1	0.01	97
1	50	37	20	20	0	1	0.44	55
1	5	43	20	20	1	1	0.9	9
1	20	19	20	20	0	1	0.71	28
1	50	37	20	20	0	1	0.44	55
1	5	37	20	20	1	1	0.9	9
1	100	37	20	20	0	1	0.01	97
1	10	31	20	20	1	1	0.85	14
1	1	25	20	20	1	1	1	1
1	20	31	20	20	0	1	0.71	28
1	50	25	20	20	0	1	0.44	55
1	5	19	20	20	1	1	0.9	9
1	10	43	20	20	1	1	0.85	14
1	1	37	20	20	1	1	1	1
1	100	31	20	20	0	1	0.01	97
1	20	43	20	20	0	1	0.71	28
1	10	19	20	20	1	1	0.85	14
1	100	25	20	20	0	1	0.01	97
1	20	19	20	20	0	1	0.71	28
1	50	31	20	20	1	1	0.44	55
1	5	25	20	20	1	1	0.9	9
1	1	19	20	20	1	1	1	1
1	1	43	20	20	1	1	1	1
1	20	25	20	20	0	1	0.71	28
1	50	19	20	20	0	1	0.44	55
1	5	43	20	20	1	1	0.9	9
1	100	43	20	20	0	1	0.01	97
1	10	37	20	20	1	1	0.85	14
1	50	43	20	20	0	1	0.44	55
1	1	31	20	20	1	1	1	1
1	100	19	20	20	0	1	0.01	97
1	20	37	20	20	0	1	0.71	28
1	5	31	20	20	1	1	0.9	9
1	10	25	20	20	1	1	0.85	14
1	1	19	10	30	1	0	1	1
1	5	31	10	30	0	0	0.9	9
1	10	37	10	30	0	0	0.85	14
1	100	25	10	30	0	0	0.01	97
1	50	37	10	30	0	0	0.44	55
1	20	25	10	30	0	0	0.71	28
1	100	31	10	30	0	0	0.01	97
1	10	19	10	30	0	0	0.85	14
1	50	19	10	30	0	0	0.44	55
1	1	43	10	30	1	0	1	1
1	5	19	10	30	0	0	0.9	9
1	20	31	10	30	0	0	0.71	28
1	50	25	10	30	0	0	0.44	55
1	20	37	10	30	0	0	0.71	28
1	5	37	10	30	0	0	0.9	9
1	10	31	10	30	1	0	0.85	14
1	100	43	10	30	0	0	0.01	97
1	1	25	10	30	1	0	1	1
1	5	43	10	30	1	0	0.9	9
1	20	43	10	30	0	0	0.71	28
1	10	25	10	30	0	0	0.85	14
1	50	31	10	30	0	0	0.44	55
1	1	31	10	30	1	0	1	1
1	100	37	10	30	0	0	0.01	97
1	50	43	10	30	0	0	0.44	55
1	1	37	10	30	1	0	1	1
1	20	19	10	30	0	0	0.71	28
1	10	43	10	30	0	0	0.85	14
1	100	19	10	30	0	0	0.01	97
1	5	25	10	30	0	0	0.9	9
1	100	19	10	30	0	0	0.01	97
