subjID	social_distance	amount_self	amount_default	amount_other	choice	totalFairseq
1	1	37	20	20	1	1
1	10	37	20	20	1	1
1	20	25	20	20	0	1
1	100	37	20	20	0	1
1	5	37	20	20	1	1
1	50	43	20	20	0	1
1	10	43	20	20	1	1
1	5	31	20	20	1	1
1	1	19	20	20	1	1
1	100	31	20	20	0	1
1	20	31	20	20	0	1
1	50	25	20	20	0	1
1	100	19	20	20	0	1
1	50	19	20	20	0	1
1	10	19	20	20	1	1
1	5	25	20	20	1	1
1	20	37	20	20	0	1
1	1	25	20	20	1	1
1	20	43	20	20	1	1
1	10	31	20	20	1	1
1	5	19	20	20	1	1
1	1	31	20	20	1	1
1	50	31	20	20	0	1
1	100	25	20	20	0	1
1	1	43	20	20	1	1
1	10	25	20	20	1	1
1	100	43	20	20	0	1
1	50	37	20	20	0	1
1	5	43	20	20	1	1
1	20	19	20	20	0	1
1	50	37	20	20	0	1
1	5	37	20	20	1	1
1	100	37	20	20	0	1
1	10	31	20	20	1	1
1	1	25	20	20	1	1
1	20	31	20	20	0	1
1	50	25	20	20	0	1
1	5	19	20	20	1	1
1	10	43	20	20	1	1
1	1	37	20	20	1	1
1	100	31	20	20	0	1
1	20	43	20	20	0	1
1	10	19	20	20	1	1
1	100	25	20	20	0	1
1	20	19	20	20	0	1
1	50	31	20	20	1	1
1	5	25	20	20	1	1
1	1	19	20	20	1	1
1	1	43	20	20	1	1
1	20	25	20	20	0	1
1	50	19	20	20	0	1
1	5	43	20	20	1	1
1	100	43	20	20	0	1
1	10	37	20	20	1	1
1	50	43	20	20	0	1
1	1	31	20	20	1	1
1	100	19	20	20	0	1
1	20	37	20	20	0	1
1	5	31	20	20	1	1
1	10	25	20	20	1	1
1	1	19	10	30	1	0
1	5	31	10	30	0	0
1	10	37	10	30	0	0
1	100	25	10	30	0	0
1	50	37	10	30	0	0
1	20	25	10	30	0	0
1	100	31	10	30	0	0
1	10	19	10	30	0	0
1	50	19	10	30	0	0
1	1	43	10	30	1	0
1	5	19	10	30	0	0
1	20	31	10	30	0	0
1	50	25	10	30	0	0
1	20	37	10	30	0	0
1	5	37	10	30	0	0
1	10	31	10	30	1	0
1	100	43	10	30	0	0
1	1	25	10	30	1	0
1	5	43	10	30	1	0
1	20	43	10	30	0	0
1	10	25	10	30	0	0
1	50	31	10	30	0	0
1	1	31	10	30	1	0
1	100	37	10	30	0	0
1	50	43	10	30	0	0
1	1	37	10	30	1	0
1	20	19	10	30	0	0
1	10	43	10	30	0	0
1	100	19	10	30	0	0
1	5	25	10	30	0	0
1	100	19	10	30	0	0
1	5	31	10	30	0	0
1	50	25	10	30	0	0
1	10	25	10	30	0	0
1	1	25	10	30	1	0
1	20	31	10	30	0	0
1	1	19	10	30	1	0
1	10	19	10	30	0	0
1	20	19	10	30	0	0
1	5	37	10	30	1	0
1	50	31	10	30	0	0
1	100	31	10	30	0	0
1	10	31	10	30	0	0
1	20	37	10	30	0	0
1	1	37	10	30	1	0
1	5	43	10	30	0	0
1	100	25	10	30	0	0
1	50	37	10	30	0	0
1	50	43	10	30	0	0
1	20	43	10	30	1	0
1	100	43	10	30	0	0
1	10	37	10	30	0	0
1	1	43	10	30	1	0
1	5	19	10	30	0	0
1	50	19	10	30	0	0
1	20	25	10	30	0	0
1	5	25	10	30	0	0
1	1	31	10	30	1	0
1	100	37	10	30	0	0
1	10	43	10	30	0	0
2	10	37	10	30	0	0
2	50	19	10	30	0	0
2	1	25	10	30	1	0
2	100	25	10	30	0	0
2	5	37	10	30	1	0
2	20	19	10	30	0	0
2	10	25	10	30	0	0
2	100	19	10	30	0	0
2	50	25	10	30	0	0
2	20	43	10	30	0	0
2	5	25	10	30	1	0
2	1	31	10	30	1	0
2	1	37	10	30	1	0
2	100	37	10	30	0	0
2	20	31	10	30	0	0
2	10	43	10	30	1	0
2	5	43	10	30	1	0
2	50	31	10	30	0	0
2	10	19	10	30	0	0
2	5	19	10	30	1	0
2	50	37	10	30	0	0
2	20	25	10	30	0	0
2	100	31	10	30	0	0
2	1	19	10	30	1	0
2	5	31	10	30	1	0
2	10	31	10	30	1	0
2	100	43	10	30	0	0
2	1	43	10	30	1	0
2	20	37	10	30	0	0
2	50	43	10	30	0	0
2	10	19	10	30	1	0
2	100	31	10	30	0	0
2	50	31	10	30	0	0
2	20	25	10	30	0	0
2	1	31	10	30	1	0
2	5	31	10	30	1	0
2	5	43	10	30	1	0
2	1	37	10	30	1	0
2	50	25	10	30	0	0
2	100	25	10	30	0	0
2	10	31	10	30	0	0
2	20	37	10	30	0	0
2	10	43	10	30	0	0
2	1	25	10	30	1	0
2	100	43	10	30	0	0
2	5	19	10	30	1	0
2	50	37	10	30	0	0
2	20	19	10	30	0	0
2	10	25	10	30	0	0
2	50	19	10	30	0	0
2	1	19	10	30	1	0
2	5	37	10	30	1	0
2	20	31	10	30	0	0
2	100	37	10	30	0	0
2	100	19	10	30	0	0
2	20	43	10	30	0	0
2	50	43	10	30	0	0
2	10	37	10	30	0	0
2	1	43	10	30	1	0
2	5	25	10	30	1	0
2	50	25	20	20	0	1
2	5	25	20	20	1	1
2	100	43	20	20	0	1
2	1	19	20	20	1	1
2	20	43	20	20	0	1
2	10	43	20	20	0	1
2	10	37	20	20	0	1
2	20	31	20	20	0	1
2	50	37	20	20	0	1
2	1	31	20	20	1	1
2	5	31	20	20	1	1
2	100	31	20	20	0	1
2	20	19	20	20	0	1
2	10	25	20	20	1	1
2	100	19	20	20	0	1
2	50	19	20	20	0	1
2	1	37	20	20	1	1
2	5	37	20	20	1	1
